"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"전기차 충전소";"금호리조트";"제주특별자치도 서귀포시 남원읍 태위로 522-12";"";126.702095;33.27333
"전기차 충전소";"동부보건소";"제주특별자치도 서귀포시 남원읍 태위로 527";"";126.70338;33.275732
"전기차 충전소";"동부보건소";"제주특별자치도 서귀포시 남원읍 태위로 527";"";126.70338;33.275732
"전기차 충전소";"남원생활체육관";"제주특별자치도 서귀포시 남원읍 태위로 551-28";"";126.705135;33.278275
"전기차 충전소";"남원생활체육관";"제주특별자치도 서귀포시 남원읍 태위로 551-28";"";126.705135;33.278275
"전기차 충전소";"호텔이디";"제주특별자치도 서귀포시 남원읍 태위로 690-3";"";126.72045;33.279218
"전기차 충전소";"남원읍사무소";"제주특별자치도 서귀포시 남원읍 태위로 695";"";126.720507;33.279697
"전기차 충전소";"태흥1리마을회";"제주특별자치도 서귀포시 남원읍 태위로 817";"";126.733098;33.283414
"전기차 충전소";"마더카페";"제주특별자치도 서귀포시 남원읍 태위로 894번길 45";"";126.741395;33.281253
"전기차 충전소";"CU 서귀태흥점";"제주특별자치도 서귀포시 남원읍 태흥리 103-1";"";126.757493;33.292938
"전기차 충전소";"대한예수교장로회태흥교회";"제주특별자치도 서귀포시 남원읍 태흥리 596";"";126.744535;33.290626
"전기차 충전소";"하례1리마을회";"제주특별자치도 서귀포시 남원읍 하례중앙로 95";"";126.625362;33.269142
"전기차 충전소";"의귀리마을회";"제주특별자치도 서귀포시 남원읍 한신로 207";"";126.713326;33.310386
"전기차 충전소";"농업회사법인가뫼불";"제주특별자치도 서귀포시 남위남성로 168";"";126.693409;33.290045
"전기차 충전소";"가파도 마을회관";"제주특별자치도 서귀포시 대정읍 가파로 73";"";126.273547;33.166448
"전기차 충전소";"상남아크로타워";"제주특별자치도 서귀포시 대정읍 글로벌에듀로 370";"";126.278256;33.280714
"전기차 충전소";"세인트존스베리아카데미 제주(St. Johnsbury Academy Jeju)";"제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 10";"";126.284427;33.284612
"전기차 충전소";"제이라움";"제주특별자치도 서귀포시 대정읍 노을해안로 418";"";126.190452;33.25645
"전기차 충전소";"신도1리마을회";"제주특별자치도 서귀포시 대정읍 도원로 217";"";126.191769;33.278449
"전기차 충전소";"대정문화체육센터";"제주특별자치도 서귀포시 대정읍 동일리 3171";"";126.235386;33.263118
"전기차 충전소";"제이앤클로이";"제주특별자치도 서귀포시 대정읍 무릉중앙로 203";"";126.188859;33.257211
"전기차 충전소";"송악산 공영주차장";"제주특별자치도 서귀포시 대정읍 상모리 165";"";126.288891;33.205977
"전기차 충전소";"상모1리마을회";"제주특별자치도 서귀포시 대정읍 상모인성로 18";"";126.269377;33.226434
"전기차 충전소";"서림교회";"제주특별자치도 서귀포시 대정읍 서림중앙로 45";"";126.225489;33.246281
"전기차 충전소";"무릉문화의집";"제주특별자치도 서귀포시 대정읍 서삼중로 128";"";126.198988;33.273451
"전기차 충전소";"무릉문화의집";"제주특별자치도 서귀포시 대정읍 서삼중로 128";"";126.198988;33.273451
"전기차 충전소";"마라도 가는 여객선";"제주특별자치도 서귀포시 대정읍 송악관광로 424";"";126.290514;33.207406
"전기차 충전소";"서귀포시서부종합사회복지관";"제주특별자치도 서귀포시 대정읍 신영로 23";"";126.247888;33.223888
"전기차 충전소";"대한예수교장로회모슬포제일교회";"제주특별자치도 서귀포시 대정읍 신영로 65-12";"";126.249859;33.221319
"전기차 충전소";"영어교육도신 한신더휴아파트";"제주특별자치도 서귀포시 대정읍 에듀시티로 102";"";126.279234;33.28775
"전기차 충전소";"삼정지에듀아파트";"제주특별자치도 서귀포시 대정읍 에듀시티로 148";"";126.275711;33.285141
"전기차 충전소";"제주 곶자왈 도립공원입구";"제주특별자치도 서귀포시 대정읍 에듀시티로 178";"";126.273591;33.283236
"전기차 충전소";"영어교육도시119센터";"제주특별자치도 서귀포시 대정읍 에듀시티로 238";"";126.273311;33.27895
"전기차 충전소";"대정 영어교육도시";"제주특별자치도 서귀포시 대정읍 에듀시티로 86";"";126.281828;33.287948
"전기차 충전소";"대정 영어교육도시";"제주특별자치도 서귀포시 대정읍 에듀시티로 86";"";126.281828;33.287948
